game_no,player_no,round_no,primal_type,kicker_type,kicker_len,combo_str,primal_str,current_str,up_str,down_str
5,3,5,0,0,0,,,79QQKAA,455667788899TJQK2,34789JQ2
5,1,6,3,0,0,AA,AA,34789JQ2,79QQK,455667788899TJQK2
5,2,6,0,0,0,,,455667788899TJQK2,34789JQ2,79QQK
5,3,6,0,0,0,,,79QQK,455667788899TJQK2,34789JQ2
5,1,7,1,0,0,7,7,34789JQ2,9QQK,455667788899TJQK2
5,2,7,1,0,0,8,8,455667788899TJQK2,3479JQ2,9QQK
5,3,7,1,0,0,Q,Q,9QQK,455667788899TJK2,3479JQ2
5,1,8,1,0,0,K,K,3479JQ2,9QQ,455667788899TJK2
5,2,8,1,0,0,2,2,455667788899TJK2,3479JQ,9QQ
5,3,8,0,0,0,,,9QQ,455667788899TJK2,3479JQ
5,1,9,0,0,0,,,3479JQ,9QQ,455667788899TJK2
5,2,9,1,0,0,3,3,455667788899TJK2,479JQ,9QQ
5,3,9,1,0,0,9,9,9QQ,45566778889TJK2,479JQ
5,1,10,1,0,0,Q,Q,479JQ,9Q,45566778889TJK2
5,2,10,0,0,0,,,45566778889TJK2,479JQ,9Q
5,3,10,1,0,0,K,K,9Q,45566778889TJ2,479JQ
5,1,11,0,0,0,,,479JQ,9Q,45566778889TJ2
5,2,11,0,0,0,,,45566778889TJ2,479JQ,9Q
5,3,11,1,0,0,9,9,9Q,4556677888TJ2,479JQ
5,1,12,1,0,0,Q,Q,479JQ,9,4556677888TJ2
5,2,12,0,0,0,,,4556677888TJ2,479JQ,9
5,3,12,1,0,0,2,2,9,4556677888TJ,479JQ
5,1,13,0,0,0,,,479JQ,9,4556677888TJ
5,2,13,0,0,0,,,4556677888TJ,479JQ,9
5,3,13,4,0,0,55667788,55667788,9,48TJ,479JQ
5,1,14,0,0,0,,,479JQ,9,48TJ
5,2,14,0,0,0,,,48TJ,479JQ,9
5,3,14,1,0,0,T,T,9,48J,479JQ
5,1,15,0,0,0,,,479JQ,9,48J
5,2,15,1,0,0,J,J,48J,479Q,9
5,3,15,0,0,0,,,9,48J,479Q
5,1,16,0,0,0,,,479Q,9,48J
5,2,16,1,0,0,4,4,48J,79Q,9
5,3,16,1,0,0,J,J,9,48,79Q
5,1,17,0,0,0,,,79Q,9,48
5,2,17,1,0,0,Q,Q,48,79,9
5,3,17,0,0,0,,,9,48,79
5,1,18,0,0,0,,,79,9,48
5,2,18,1,0,0,9,9,48,7,9
5,3,18,0,0,0,,,9,48,7
6,1,1,2,0,0,56789T,56789T,33457789TJJJQAA2S,3688TQKKKA222B,34445566799TJQQKA
6,2,1,2,0,0,789TJQ,789TJQ,34445566799TJQQKA,33457JJAA2S,3688TQKKKA222B
6,3,1,2,0,0,9TJQKA,9TJQKA,3688TQKKKA222B,3444556679Q,33457JJAA2S
6,1,2,0,0,0,,,33457JJAA2S,3688TQKKKA222B,3444556679Q
6,2,2,0,0,0,,,3444556679Q,33457JJAA2S,3688TQKKKA222B
6,3,2,4,0,0,445566,445566,3688TQKKKA222B,3479Q,33457JJAA2S
6,1,3,0,0,0,,,33457JJAA2S,3688TQKKKA222B,3479Q
6,2,3,0,0,0,,,3479Q,33457JJAA2S,3688TQKKKA222B
6,3,3,1,0,0,3,3,3688TQKKKA222B,479Q,33457JJAA2S
6,1,4,1,0,0,8,8,33457JJAA2S,368TQKKKA222B,479Q
6,2,4,1,0,0,2,2,479Q,33457JJAAS,368TQKKKA222B
6,3,4,0,0,0,,,368TQKKKA222B,479Q,33457JJAAS
6,1,5,1,0,0,B,B,33457JJAAS,368TQKKKA222,479Q
6,2,5,0,0,0,,,479Q,33457JJAAS,368TQKKKA222
6,3,5,0,0,0,,,368TQKKKA222,479Q,33457JJAAS
6,1,6,1,0,0,8,8,33457JJAAS,36TQKKKA222,479Q
6,2,6,1,0,0,A,A,479Q,33457JJAS,36TQKKKA222
6,3,6,0,0,0,,,36TQKKKA222,479Q,33457JJAS
